User ID,Gender,Age,EstimatedSalary,Purchased
15729876,Male,28,58789,0
18402600,Male,37,145025,1
12942567,Female,22,146149,0
16666460,Male,31,127446,1
10581791,Male,39,83401,0
12761947,Female,21,123460,0
16128956,Male,51,64207,1
12321047,Female,49,128666,1
15454934,Male,48,120137,0
11674669,Female,28,80299,0
18434228,Female,30,104548,1
17334461,Male,24,138809,1
13944750,Female,42,130324,0
15164823,Male,59,139963,1
14123322,Female,60,72905,1
17057160,Male,51,52093,0
13969427,Male,36,119778,0
12128662,Female,33,86617,1
15870229,Male,29,69997,0
15672472,Female,21,89174,1
13697592,Female,44,143222,0
13687850,Male,29,130705,1
19377745,Male,59,80220,1
12360193,Male,28,119752,1
17292492,Female,21,76043,0
15785957,Male,44,145967,1
11104177,Male,25,79824,0
14703584,Male,43,89982,1
19049409,Female,46,147530,1
15238081,Female,36,60575,1
13961765,Female,43,78098,0
17089155,Male,55,81409,1
12297426,Female,28,70948,1
16290815,Female,50,104297,1
12645768,Male,48,127871,1
19702819,Male,33,126297,0
13603624,Female,24,110968,1
10974769,Female,53,91670,1
15997078,Male,39,91484,1
15543007,Female,38,79015,0
12045512,Male,47,105738,1
18148680,Female,60,149376,0
19389802,Female,32,132339,1
14176702,Female,55,65263,0
16272022,Female,43,121151,0
13867391,Male,55,143658,1
14220159,Female,39,107871,1
14988491,Male,35,88727,0
13839143,Male,55,78055,1
13739543,Female,36,58593,1
16476895,Male,27,62004,1
16144247,Female,51,99881,1
19172097,Male,42,72411,1
15679010,Female,47,91721,1
12372850,Male,34,140775,0
18431004,Male,35,79146,1
17054280,Female,58,128623,1
18333359,Male,25,128311,1
13980301,Male,23,72896,1
15750258,Female,57,115969,1
19695633,Male,28,111173,1
13806266,Female,41,107820,0
10220446,Female,20,141231,1
12387292,Male,50,75848,1
10715173,Female,25,82560,1
10016842,Male,55,147667,0
11699655,Female,54,134972,1
