Index,interest_rate,credit,Gender,previous,duration,Churn
484,1.365,0,0,0,1143,yes
485,0.645,0,0,0,688,yes
486,1.27,0,1,0,628,yes
487,4.959,0,0,0,706,yes
488,0.885,0,0,1,608,yes
489,4.153,0,0,0,250,no
490,0.735,0,0,0,107,yes
491,4.965,0,0,0,716,yes
492,4.859,0,1,0,619,yes
493,4.864,0,0,0,406,no
494,4.963,0,0,0,73,no
495,1.334,0,1,0,127,no
496,4.153,0,0,0,187,no
497,0.646,1,0,1,180,yes
498,1.266,0,1,0,326,yes
499,1.405,0,0,0,109,yes
500,0.9,0,0,1,470,yes
501,4.076,0,0,0,73,no
502,1.05,0,0,0,141,no
503,1.029,0,0,0,115,no
504,0.748,0,0,1,171,no
505,4.961,0,0,0,498,no
506,1.268,0,0,0,365,yes
507,4.959,0,0,0,10,no
508,4.021,0,0,0,796,yes
509,0.877,0,0,1,279,yes
510,1.327,0,1,0,476,yes
511,4.965,0,0,0,479,yes
512,1.266,0,1,0,225,no
513,1.334,0,1,0,204,no
514,0.861,0,0,1,806,yes
515,0.879,0,0,0,290,no
516,0.877,0,0,1,473,yes
517,4.965,0,0,0,142,no
